[USER DATA]
John
AGE=43
WEIGHT=166.0 pounds
LOWER HR=0
UPPER HR=200
drag factor=100
[END USER DATA]

[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = NONE
[END COURSE HEADER]

[COURSE DATA]
      0.07       -2.00        0.00
      0.25        1.70        0.00
      0.83        0.30        0.00
      1.11       -1.00        0.00
      1.41        0.30        0.00
      1.60       -2.00        0.00
      1.78        1.60        0.00
      2.09        2.70        0.00
      2.30       -1.20        0.00
      2.42        0.00        0.00
      2.72       -1.90        0.00
      2.86        1.10        0.00
      2.98        3.00        0.00
      3.23       -3.00        0.00
      3.39        0.90        0.00
      3.53       -1.10        0.00
      3.69       -2.40        0.00
      3.81       -0.40        0.00
      4.21        0.80        0.00
      4.40        1.80        0.00
      4.70       -2.50        0.00
      4.91       -0.20        0.00
      5.23        1.30        0.00
      5.43        2.10        0.00
      5.84       -0.40        0.00
      5.91       -0.70        0.00
      5.97        1.00        0.00
      6.20        3.00        0.00
[END COURSE DATA]

number of records = 16460

ms speed watts rpm hr ss miles 

"361387","24.54","263","98","169","66","2.3328"
"363247","24.96","296","100","169","66","2.3456"
"365108","25.20","301","101","169","67","2.3586"
"366968","25.10","283","101","169","68","2.3716"
"368829","25.16","271","94","169","69","2.3846"
"370687","25.26","317","88","169","69","2.3976"
"372547","25.32","306","88","169","68","2.4106"
"374407","25.44","337","89","170","65","2.4236"
"376268","25.38","353","89","170","62","2.4367"
"378128","25.64","353","90","170","61","2.4499"
"379989","25.24","317","89","170","60","2.4631"
"381848","24.90","267","101","170","63","2.4760"
"383708","24.84","272","100","170","65","2.4889"
"385568","24.78","278","100","170","67","2.5017"
"387428","24.04","205","104","170","69","2.5143"
"389288","23.70","172","101","170","71","2.5266"
"391148","23.88","232","96","170","71","2.5388"
"393008","24.16","260","96","170","68","2.5512"
"394868","24.18","261","97","170","66","2.5637"
"396729","24.60","258","99","170","66","2.5763"
"398589","22.10","166","68","170","66","2.5886"
"400447","19.14","82","68","170","66","2.5992"
"402307","16.32","73","68","170","67","2.6084"
"404167","13.44","61","10","170","68","2.6160"
"406027","12.40","52","74","170","72","2.6228"
"407887","9.68","44","74","169","56","2.6285"
"409747","7.38","36","74","169","42","2.6330"
"411608","4.98","26","0","169","69","2.6362"
"413467","2.98","16","0","169","90","2.6382"
"415328","6.18","40","0","169","97","2.6405"
"417187","8.20","79","39","169","70","2.6443"
"419048","10.66","110","57","169","61","2.6492"
"420908","12.52","101","63","165","63","2.6552"
"422769","13.72","98","75","164","65","2.6620"
"424628","14.48","91","79","161","66","2.6694"
"426488","15.08","88","83","160","64","2.6770"
"428349","15.70","88","85","158","61","2.6850"
"430208","16.06","87","88","157","59","2.6932"
"432070","16.26","77","90","156","57","2.7015"
"433928","16.42","78","90","154","55","2.7099"
"435788","17.62","116","77","154","62","2.7187"
"437647","18.16","122","81","154","69","2.7280"
"439508","18.52","114","83","153","63","2.7375"
"441369","18.92","112","85","152","58","2.7472"
"443229","19.30","123","86","151","57","2.7570"
"445087","19.48","132","87","150","58","2.7670"
"446949","19.70","141","89","149","59","2.7771"
"448807","20.06","152","81","148","63","2.7873"
"450668","20.70","231","82","148","70","2.7979"
"452527","21.28","248","85","147","72","2.8088"
"454388","21.56","251","87","146","71","2.8199"
"456248","21.48","245","87","145","70","2.8311"
"458108","21.58","250","87","145","69","2.8423"
"459970","21.60","279","88","145","69","2.8535"
"461827","21.64","281","87","145","70","2.8646"
"463688","21.58","311","88","145","71","2.8758"
"465548","21.90","339","89","145","68","2.8871"
"467409","21.84","334","89","145","68","2.8984"
"469268","22.00","347","89","147","69","2.9097"
"471127","21.80","344","89","148","69","2.9209"
"472987","21.66","363","89","149","69","2.9321"
"474848","21.56","357","88","150","69","2.9432"
"476708","21.44","370","88","151","69","2.9543"
"478568","21.32","374","87","151","69","2.9653"
